task,kind,claimsTotal,claimsRejected,rejectionRate,modelBucketRejected,modelBucketRate,ingestBucketRejected,verifierBucketRejected,mixedBucketRejected,fabricationCount,fabricationRate,bucketTotalCheck
arguments,argument_petitioner,382,83,0.2173,23,0.0602,33,1,26,0,0,83
arguments,argument_respondent,239,51,0.2134,9,0.0377,15,0,27,0,0,51
authorities,authority_relied_on,227,58,0.2555,20,0.0881,26,0,12,0,0,58
authorities,provision_applied,353,39,0.1105,12,0.034,19,0,8,0,0,39
case_structure,fact,313,74,0.2364,28,0.0895,30,2,14,10,0.0319,74
case_structure,procedural_history,285,49,0.1719,14,0.0491,18,0,17,7,0.0246,49
case_structure,chronology,373,51,0.1367,19,0.0509,21,2,9,9,0.0241,51
case_structure,relief_sought,147,27,0.1837,6,0.0408,16,0,5,2,0.0136,27
case_structure,issue,171,32,0.1871,12,0.0702,11,0,9,2,0.0117,32
holding,relief_granted,189,25,0.1323,9,0.0476,11,0,5,1,0.0053,25
holding,holding,180,31,0.1722,9,0.05,9,0,13,0,0,31
holding,reasoning,290,64,0.2207,13,0.0448,26,1,24,0,0,64
holding,proposition,130,26,0.2,3,0.0231,16,1,6,0,0,26
topics,topic,327,56,0.1713,16,0.0489,20,6,14,2,0.0061,56
topics,search_concept,513,79,0.154,23,0.0448,24,2,30,2,0.0039,79
