configId,status,gate,command,pass,mode,notes
E0-controlled-sparse-existing,complete_existing_checkpoint,none_offline_summary,not rerun; summarized from arms-checkpoint.jsonl,CONTROLLED,sparse,"Existing NEW1 controlled pass; Supreme Court haystack. Postgres ts_rank, not BM25."
E0-controlled-dense-existing,complete_existing_checkpoint,none_offline_summary,not rerun; summarized from arms-checkpoint.jsonl,CONTROLLED,dense,Existing NEW1 controlled pass; dense searches embedded Supreme Court corpus.
E0-controlled-hybrid-existing,complete_existing_checkpoint,none_offline_summary,not rerun; summarized from arms-checkpoint.jsonl,CONTROLLED,hybrid,Existing NEW1 controlled pass; sparse+dense RRF through production harness code at run time.
E1-uncontrolled-sparse,prepared_not_run,MEDIUM_CLEAN,ARMS_PASS=uncontrolled pnpm --filter @lawmind/harness arms,UNCONTROLLED,sparse,Measures production haystack behavior; do not compare as ranker quality against controlled pass.
E1-uncontrolled-dense,prepared_not_run,MEDIUM_CLEAN,ARMS_PASS=uncontrolled pnpm --filter @lawmind/harness arms,UNCONTROLLED,dense,Same command produces sparse/dense/hybrid; listed separately for matrix accounting.
E1-uncontrolled-hybrid,prepared_not_run,MEDIUM_CLEAN,ARMS_PASS=uncontrolled pnpm --filter @lawmind/harness arms,UNCONTROLLED,hybrid,Same command produces sparse/dense/hybrid; listed separately for matrix accounting.
E2-halfvec-controlled-dense,blocked_by_missing_disposable_halfvec_retrieval_runner,VECTOR_EXCLUSIVE,future: copied/disposable halfvec retrieval runner over frozen 283-query benchmark,CONTROLLED,dense_halfvec,Requires Workstream C3/D disposable ANN recall and a harness that points only at copied vectors.
E3-halfvec-controlled-hybrid,blocked_by_missing_disposable_halfvec_retrieval_runner,VECTOR_EXCLUSIVE,future: copied/disposable halfvec hybrid retrieval runner over frozen 283-query benchmark,CONTROLLED,hybrid_halfvec,Do not route production retrieval to halfvec; NEW1 owns quality approval.
E4-ef-search-sweep,blocked_by_hnsw_parameter_lab,VECTOR_EXCLUSIVE,future: run HNSW finalist ef_search values against frozen retrieval benchmark,CONTROLLED,dense_or_hybrid,Depends on Workstream D Pareto frontier; avoid tuning against hidden data.
E5-exact-route-probes,prepared_not_run,MEDIUM_CLEAN,future: bounded exact citation/title probe set from post-migration-probes.json,PROBES,exact_citation_title,Probe exact routes separately from dense/lexical arms; citation harness five-state semantics apply.
